epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.716,1.10654,3.07785,2.55668,0.46836,0.08899,0.02425,0.0062,1.77575,4.44472,4.83778,0.057325,0.00388801,0.00388801
2,318.094,1.06163,2.66708,2.43218,0.20969,0.37702,0.19143,0.08578,1.17952,2.66146,3.16115,0.0144981,0.00770593,0.00770593
3,467.621,1.0129,2.4282,2.35492,0.36275,0.43809,0.32895,0.14648,1.11326,2.16604,2.92826,0.00818494,0.00818494,0.00818494
4,614.436,0.97437,2.23496,2.28308,0.55072,0.50258,0.53295,0.28169,1.00061,1.8035,2.73325,0.0081024,0.0081024,0.0081024
5,761.561,0.9421,2.07292,2.22351,0.41438,0.55262,0.49949,0.25542,1.08694,1.83197,2.89494,0.00801987,0.00801987,0.00801987
6,906.113,0.92132,1.97539,2.20007,0.50359,0.585,0.59196,0.32401,0.97437,1.66701,2.65559,0.00793734,0.00793734,0.00793734
7,1053.76,0.9061,1.86164,2.17274,0.64567,0.62803,0.69283,0.41688,0.90549,1.45217,2.55105,0.00785481,0.00785481,0.00785481
8,1200.44,0.88752,1.79048,2.14778,0.6324,0.63828,0.69432,0.39877,0.94783,1.50112,2.58532,0.00777227,0.00777227,0.00777227
9,1344.78,0.87235,1.69616,2.11507,0.66724,0.62218,0.69607,0.3783,1.02938,1.46713,2.95625,0.00768974,0.00768974,0.00768974
10,1489.68,0.86165,1.63465,2.10089,0.76943,0.74828,0.83587,0.50443,0.87034,1.17675,2.50427,0.00760721,0.00760721,0.00760721
11,1635.86,0.85524,1.57865,2.08807,0.73969,0.67093,0.77681,0.48017,0.86909,1.24629,2.48841,0.00752468,0.00752468,0.00752468
12,1780.12,0.84311,1.53259,2.06348,0.75669,0.72957,0.82676,0.47501,0.9587,1.16174,2.71799,0.00744215,0.00744215,0.00744215
13,1924.54,0.82996,1.48449,2.04894,0.76457,0.74074,0.83342,0.52942,0.81968,1.12744,2.3683,0.00735961,0.00735961,0.00735961
14,2071.19,0.81956,1.44936,2.03838,0.80373,0.81109,0.88895,0.58042,0.78423,0.95926,2.30419,0.00727708,0.00727708,0.00727708
15,2217.82,0.80633,1.38997,2.02055,0.82084,0.80238,0.87896,0.56535,0.79299,0.98356,2.3386,0.00719455,0.00719455,0.00719455
16,2362.55,0.79734,1.37659,2.00644,0.79946,0.75351,0.84657,0.52399,0.85621,1.08398,2.46316,0.00711202,0.00711202,0.00711202
