fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
0.81044,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.79481,0.00988,0.01,0.91305,0.00051,2.81403,0.8,7.5,0.49287,1.51403,0.01424,0.8564,0.38594,0.0,0.1,0.5,0.0,0.0,0.0,0.50821,0.0,1.0,0.0,0.0,0.0
0.80065,0.01,0.00993,0.93616,0.0005,3.03239,0.79786,7.5,0.49919,1.50576,0.01486,0.69552,0.40739,0.0,0.0994,0.50445,0.0,0.0,0.0,0.50394,0.0,0.99799,0.0,0.0,0.0
0.78643,0.01014,0.01,0.934,0.0005,3.04709,0.74811,7.65555,0.5,1.5,0.01406,0.75132,0.4427,0.0,0.11132,0.56244,0.0,0.0,0.0,0.54738,0.0,0.85655,0.0,0.0,0.0
0.82274,0.00883,0.01,0.937,0.00032,2.15972,0.90557,7.83624,0.52386,1.65373,0.01352,0.85764,0.41613,0.0,0.07946,0.44052,0.0,0.0,0.0,0.52535,0.0,1.0,0.0,0.0,0.0
0.79956,0.01,0.01068,0.937,0.00054,3.04247,0.81831,8.10207,0.49717,1.44608,0.01382,0.7,0.42959,0.0,0.1023,0.52047,0.0,0.0,0.0,0.50768,0.0,0.98259,0.0,0.0,0.0
0.80953,0.01,0.00897,0.93078,0.00053,2.87958,0.9219,7.5,0.44332,1.49399,0.01633,0.76949,0.49197,0.0,0.08799,0.4275,0.0,0.0,0.0,0.48021,0.0,1.0,0.0,0.0,0.0
0.815,0.00934,0.00972,0.94839,0.00033,2.10158,0.89215,7.83624,0.53124,1.55749,0.01352,0.85006,0.43998,0.0,0.07036,0.44052,0.0,0.0,0.0,0.48761,0.0,1.0,0.0,0.0,0.0
0.79749,0.00883,0.00731,0.93051,0.0003,2.1896,0.86017,8.10888,0.40266,1.47567,0.01352,0.9,0.45998,0.0,0.07946,0.46023,0.0,0.0,0.0,0.59607,0.0,0.9353,0.0,0.0,0.0
0.82508,0.00835,0.01159,0.92632,0.00026,2.14442,0.90557,4.97567,0.48499,2.0554,0.01352,0.85764,0.41613,0.0,0.08573,0.43784,0.0,0.0,0.0,0.70805,0.0,1.0,0.0,0.0,0.0
